party_id,party_name,party_description
PP749,The Individuals Labour and Tory (TILT),TILT
PP749,The Individuals Labour and Tory (TILT),WHIG
PP749,The Individuals Labour and Tory (TILT),Irish Individuals Labour and Tory Party
PP749,The Individuals Labour and Tory (TILT),Irish Individuals
PP749,The Individuals Labour and Tory (TILT),Belfast Individuals TILT
PP749,The Individuals Labour and Tory (TILT),Northern Ireland TILT
PP749,The Individuals Labour and Tory (TILT),Irish Individuals Labour and Tory tilt
PP751,Community First,
PP751,Community First,Community First. Serving Only You
PP283,Bristolian,
PP2413,The Eccentric Party of Great Britain,
PP2413,The Eccentric Party of Great Britain,The Eccentric Party
PP2468,Residents for Uttlesford,
PP2468,Residents for Uttlesford,Residents for Uttlesford - Saffron Walden
PP2468,Residents for Uttlesford,Residents for Uttlesford - Newport
PP2468,Residents for Uttlesford,Residents for Uttlesford - Dunmow
PPm2653,Neston Action,
PP2658,Alliance for London,
PP2658,Alliance for London,London: fair opportunity for all
PP2658,Alliance for London,Londoners deciding London's future
PP2658,Alliance for London,London: open for opportunity for all
PP2658,Alliance for London,Londoners allied with the World
PP2658,Alliance for London,Let's all be stronger together
PP49,Weybridge & St. George's Independents,
PP51,Conservative and Unionist Party,
PP51,Conservative and Unionist Party,Ulster Conservatives and Unionists - New Force (Joint Description with Ulster Unionist Party)
PP51,Conservative and Unionist Party,Conservatives
PP51,Conservative and Unionist Party,NI Conservatives
PP51,Conservative and Unionist Party,Northern Ireland Conservatives
PP56,Council Tax Payers Party (England's Own),
PP121,The United Kingdom People's Party,
PP419,telepathicpartnership.com,
PP527,Abolish Forth Bridge Tolls Party,
PP534,Brooklands Residents' Association,
PP560,Doncaster Against Demolition,
PP1874,Hersham Village Society,
PP1874,Hersham Village Society,Promoting the Interests of Hersham
ynmp-party:12522,Speaker seeking re-election,
ynmp-party:12952,New Independent Conservative Chelsea and Fulham,
ynmp-party:535,"National Liberal Party, The Third Way",
ynmp-party:542,Neath Port Talbot Independent Party,
PP302,Maldon & District Independent Democratic Alliance,
PP4071,South Belfast Unionists,
PP4071,South Belfast Unionists,First for South Belfast
PP4071,South Belfast Unionists,Putting South Belfast First!
PP4071,South Belfast Unionists,It's Made for You!
PP4071,South Belfast Unionists,Putting Balmoral First!
PP4071,South Belfast Unionists,Putting Botanic First!
PP4071,South Belfast Unionists,Putting Lisnasharragh First!
PP4071,South Belfast Unionists,South Belfast Unionists - SBU
PP4071,South Belfast Unionists,The Heart of South Belfast
PP4071,South Belfast Unionists,The Local Party for Local People
PP536,Croydon Ratepayers Against Croydon Council,
PP2691,Oxfordshire Independent Party,
PP2691,Oxfordshire Independent Party,Oxfordshire Independent for thorough governance
PP2716,Rural Oxfordshire Action Rally - ROAR,
PP2730,Common Sense Party,
PP2730,Common Sense Party,Take Politics Out of the NHS
PP2730,Common Sense Party,Take Politics out of Schools
PP2730,Common Sense Party,Halve the number of MPs
PP2836,United Kingdom Unionist Party,
PP2836,United Kingdom Unionist Party,Putting Our Country Back Together Again
PP2836,United Kingdom Unionist Party,The British Interest
PP126,Hawkwell Residents,
PP183,Defend The Welfare State Against Blairism,
PP421,TUSP,
PP591,Stoneleigh and Auriol Residents' Association,
PP596,the independence index,
PP630,Community Independent Party (UK),
joint-party:51-83,Ulster Conservatives and Unionists - New Force,
joint-party:138-141,Nork & Tattenhams Residents' Associations,
joint-party:604-804,Solidarity - Trade Unionist and Socialist Coalition,
joint-party:20-59,Esher and Molesey Residents' Associations,
PP659,Mercian Party,
PP685,Libertarian Party,
PP685,Libertarian Party,Repeal then reform
PP685,Libertarian Party,Repeal first then reform
PP685,Libertarian Party,Libertarian Party UK
PP685,Libertarian Party,Vote the same get the same
PP685,Libertarian Party,"Your Life, Your Country, Your Choice"
PP685,Libertarian Party,"Liberty, worth voting for"
PP685,Libertarian Party,No more income tax
PP762,The Sutton Independent Group,
PP762,The Sutton Independent Group,The Sutton Independent Group
PP762,The Sutton Independent Group,The Sutton Independent Group Candidate
PP781,The P.N.D.P.,
PP781,The P.N.D.P.,The P.N.D.P.
PP781,The P.N.D.P.,P.N.D.P.
PP781,The P.N.D.P.,P.N.D.P. Scotland
PP781,The P.N.D.P.,P.N.D.P. Wales
PP781,The P.N.D.P.,P.N.D.P. Scottish Candidate
PP781,The P.N.D.P.,P.N.D.P. Welsh Candidate
PP781,The P.N.D.P.,"For The People, For The Nation"
PP781,The P.N.D.P.,Welsh P.N.D.P.
PP781,The P.N.D.P.,Scottish P.N.D.P.
PP307,2003 Community Party,
PP636,Ramsgate First,
PP826,Wales - Ireland - Scotland - England United Party,
PP826,Wales - Ireland - Scotland - England United Party,(Wise-Up) National Political Party
PP826,Wales - Ireland - Scotland - England United Party,Open to all denominations etc.
PP1724,Democracy First,
PP1724,Democracy First,Democracy First
PP1724,Democracy First,Democracy & Justice
PP1724,Democracy First,Democracy & Freedom
PP1724,Democracy First,Democacy Matters
PP1724,Democracy First,UK First
PP1724,Democracy First,United Kingdom First
PPm1971,Plaid Glyndwr,
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Christian Party
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",The Christian Party
PP2893,"Christian Party ""Proclaiming Christ's Lordship""","English Christian Party ""Proclaiming Christ's Lordship"""
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Christian Party (England)
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Scottish Christian Party
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",The Scottish Christian Party
PP2893,"Christian Party ""Proclaiming Christ's Lordship""","Scottish Christian Party ""Proclaiming Christ's Lordship"""
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Christian Party (Scotland)
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Welsh Christian Party | Plaid Gristnogol Cymru
PP2893,"Christian Party ""Proclaiming Christ's Lordship""","Welsh Christian Party ""Proclaiming Christ's Lordship"" | Plaid Gristnogol Cymru ""Datgan Arglwyddiaeth Crist"""
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Christian Party (Wales)
PP2893,"Christian Party ""Proclaiming Christ's Lordship""",Christians Together
PP4041,Animal Welfare Party,
PP4041,Animal Welfare Party,"For People, Animals and the Environment"
PP4072,Independent Network,
PP4072,Independent Network,Association of Irish Independents
PP4072,Independent Network,Independent Network of Ireland
PP4089,Compass Party,
PP4089,Compass Party,A more domestic Party
PP4231,English Independence,
PP4231,English Independence,"Independence from Europe, and the UK"
PP4231,English Independence,By-Election Protest
PP4231,English Independence,Full English Devolution
PP4231,English Independence,For Hard-working Families
PP4231,English Independence,Really listening to Batley and Spen
PP4231,English Independence,English Independence - Capital Punishment
PP4231,English Independence,English Independence - Brexit Now
PP5260,Alliance for Europe,
PP5260,Alliance for Europe,Alliance for Europe in Wales | Cynghrair dros Ewrop yng Nghymru
PP5260,Alliance for Europe,The Alliance for Europe Candidate
PP5260,Alliance for Europe,Globalisation not isolation
PPm5291,Independents for Desborough,
PP6302,Kingston Independent Residents Group,
PP6302,Kingston Independent Residents Group,Candidate for Kingston Independent Residents Group
PP6302,Kingston Independent Residents Group,Your Kingston Independent Residents Group candidate
PPm6338,The Cromwell Commonwealth Republican Party,
PP6357,Resolve,
PP6357,Resolve,Resolve: to find a better solution.
PP6357,Resolve,Resolve: the determination to make improvements.
PP6357,Resolve,Resolve: to overcome challenging situations.
PP6357,Resolve,Resolve: Government for the 21st Century.
PP6357,Resolve,Resolve: to do something about it.
PP6357,Resolve,Resolve: to improve our United Kingdom.
PP6357,Resolve,Resolve Party: for the United Kingdom.
PP6357,Resolve,Resolve: to heal our divided society.
PP6357,Resolve,Resolve: innovation – compassion – service.
PP1,Beaconsfield Independent Electors Association,
PP13,New Millennium Bean Party,
PP18,Legalise Cannabis Alliance,
PP20,The Molesey Residents Association,
PP20,The Molesey Residents Association,Esher and Molesey Residents' Associations (Joint Description with Esher Residents Association)
PP798,United Voice,
PP798,United Voice,United Voice
PP798,United Voice,The United Voice
PP237,Ratepayers (Staffordshire Moorlands),
PP725,Individual Capitalist Party,
PP756,Northampton - Save Our Public Services,
PP756,Northampton - Save Our Public Services,Northampton - Save our Public Services
PP756,Northampton - Save Our Public Services,Northampton -Save our Services
PP756,Northampton - Save Our Public Services,Northampton - Save our NHS
PP756,Northampton - Save Our Public Services,Campaign for Public Services
PP876,Matriarchal Party United Kingdom Great Britain,
PP876,Matriarchal Party United Kingdom Great Britain,Matriarchal Party United Kingdom Great Britain
PP876,Matriarchal Party United Kingdom Great Britain,"Lawfulness, Trustworthiness, and Transparency"
PP876,Matriarchal Party United Kingdom Great Britain,"Lawful, Trust, Transparent"
PP876,Matriarchal Party United Kingdom Great Britain,Seeing through to the truth
PP876,Matriarchal Party United Kingdom Great Britain,"Seeing eyes, the most powerful instrument"
PP1983,The Entertainment Party,
PP1983,The Entertainment Party,Entertainment Party
PP1983,The Entertainment Party,The Entertainment Party
PP32,National Liberal Party - True Liberalism,
PP32,National Liberal Party - True Liberalism,National Liberal Party - Independence For Ulster
PP32,National Liberal Party - True Liberalism,"National Liberal Party - Liberty, Independence, Democracy"
PP32,National Liberal Party - True Liberalism,"National Liberal Party - Land, People, Environment"
PP32,National Liberal Party - True Liberalism,National Liberal Party - The Radical Centre
PP32,National Liberal Party - True Liberalism,National Liberal Party (Cuffley Courier Team)
PP32,National Liberal Party - True Liberalism,National Liberal Party (Harold Voice Team)
PP32,National Liberal Party - True Liberalism,National Liberal Party (Elm Park Voice)
PP32,National Liberal Party - True Liberalism,National Liberal Party (Local Voice Team)
PP32,National Liberal Party - True Liberalism,National Liberal Party - No To Overdevelopment
PP32,National Liberal Party - True Liberalism,National Liberal Party - Self-determination for all!
PP32,National Liberal Party - True Liberalism,National Liberal Party Ulster Third Way
PP281,Whitwell Resident's Association,
PP281,Whitwell Resident's Association,Whitwell Residents Association Candidate
PP628,You Party,
PP654,Action To Save St.John's Hospital,
PP801,Local Liberals People Before Politics Party,
PP801,Local Liberals People Before Politics Party,Orange and White Rosette
PPm832,White Rose GB,
PP844,Communities United Party,
PP849,Trust,
PP849,Trust,Trust
PP849,Trust,Restore Trust in Parliament
PP849,Trust,Solve the Parliamentary Expenses Scandal
PP849,Trust,Support the Independence of MPs
PP851,A Better Way to Govern,
PP851,A Better Way to Govern,A Better Way to Avoid Corruption
PP851,A Better Way to Govern,A Better Way to Business Equity
PP851,A Better Way to Govern,A Better Way to Defend Britain
PP851,A Better Way to Govern,A Better Way to Delivery Justice
PP851,A Better Way to Govern,A Better Way to Elderly Care
PP851,A Better Way to Govern,A Better Way to Environmental Economics
PP851,A Better Way to Govern,A Better Way to Future Prosperity
PP851,A Better Way to Govern,A Better Way to House Britain
PP851,A Better Way to Govern,A Better Way to Regulate Banking
PP851,A Better Way to Govern,A Better Way to Reward Efforts
PP851,A Better Way to Govern,A Better Way to Secure Democracy
PP851,A Better Way to Govern,A Better Way to Universal Education
PP863,The Magna Carta Party,
PP863,The Magna Carta Party,Magna Carta Party
PP863,The Magna Carta Party,"""Payment in lieu of Castleguard"" Only"
PP870,Nobody Party,
PP882,We Demand A Referendum Now,
PP882,We Demand A Referendum Now,Re-elect Nikki Sinclaire
PP882,We Demand A Referendum Now,Yes to UK no to EU
PP882,We Demand A Referendum Now,Vote No to European Union Membership
PP882,We Demand A Referendum Now,Referendum Now
PP882,We Demand A Referendum Now,Let the people decide
PP882,We Demand A Referendum Now,The Campaign for a Referendum Party
PP882,We Demand A Referendum Now,Less Europe More Britain
PP882,We Demand A Referendum Now,Working for Less Europe More Britain
PP882,We Demand A Referendum Now,Operation Christian Vote
PP894,TEA Party,
PP894,TEA Party,Taxed enough already
PP894,TEA Party,No taxation without representation
PP894,TEA Party,TEA improves your wellbeing
PP894,TEA Party,iParty
PP894,TEA Party,People's Pledge
PP894,TEA Party,Freedom does not come free
PP1920,Fulham Group,
PP1920,Fulham Group,Responsibility to the Regions
PP1920,Fulham Group,Constitution. Voice to the people.
PP1920,Fulham Group,Democracy not Capoligarchy
PP1920,Fulham Group,Invest in industry not services
PP1920,Fulham Group,Agriculture back to Britain
PP1920,Fulham Group,New grammar schools for all
PP1920,Fulham Group,Control media. Free journalism.
PP1920,Fulham Group,Individuals bond with authority
PP1920,Fulham Group,Beautiful Fulham geometry
PP1920,Fulham Group,Remember Martin Luther. Open your eyes
PP1920,Fulham Group,Liberty equality fraternity and joy
PP1920,Fulham Group,Change one do all. Election now.
PP2043,The United Democratic Party,
PP167,Make Politicians History,
PP314,Lanarkshire Labour Alliance Party,
PP643,Barlborough First,
PP883,It's Our County (Herefordshire),
PP2056,Spelthorne Independent Party,
PP2056,Spelthorne Independent Party,Working together for you
PP594,Resurgence,
PP602,The Animal Protection Party,
PP614,K.P.P. - Kearsley Peoples Party,
PP626,Independent Action,
PP626,Independent Action,The Grey Party
PP626,Independent Action,Thanet Independent Group
PP626,Independent Action,Thanet Independent Alliance
PP626,Independent Action,Kent Independent Group
PP626,Independent Action,Kent Independent Alliance
PP626,Independent Action,Margate First Independent Alliance
PP626,Independent Action,Birchington First Independent Alliance
PP626,Independent Action,Independent Action (Westgate Residents)
PP626,Independent Action,Independent Action (Birchington Residents)
PP626,Independent Action,Independent Action (Ramsgate Residents)
PP626,Independent Action,Thanet First Party Independent Alliance
PP626,Independent Action,Independent Action (Broadstairs Residents)
PP6316,Regional Party,
PP6316,Regional Party,Regional Party of England
PP6380,Scottish Family Party,
PP6380,Scottish Family Party,Scottish Family Party - a New Voice
PP6380,Scottish Family Party,Scottish Family Party - challenging the consensus
PP6380,Scottish Family Party,Scottish Family Party - breaking the mould
PP6380,Scottish Family Party,Scottish Family Party - a different perspective
PP6380,Scottish Family Party,Scottish Family Party - speaking the truth
PP6380,Scottish Family Party,Scottish Family Party - Putting Families First
PP6380,Scottish Family Party,Scottish Family Party - Standing for Life
PP6380,Scottish Family Party,Scottish Family Party - Challenging Political Correctness
PP6380,Scottish Family Party,Scottish Family Party - Fearlessly Speaking Truth
PP3,Northern Ireland Unionist Party,
PP8,Liberal Unionist Party,
PP402,N.O.T.A.,
PP488,War Veteran's Pro-Traditional Family Party,
PP488,War Veteran's Pro-Traditional Family Party,"Children’s Protection, Christian Democrats"
PP488,War Veteran's Pro-Traditional Family Party,Anti-Corruption Pro-Family Christian Alliance
PP503,Teesdale Independent Association,
PP577,Freedom-4-Choice,
PP604,Solidarity - Scotland's Socialist Movement,
PP604,Solidarity - Scotland's Socialist Movement,Solidarity Scotland's Socialist Movement (Tommy Sheridan)
PP604,Solidarity - Scotland's Socialist Movement,Solidarity - Tommy Sheridan
PP604,Solidarity - Scotland's Socialist Movement,Tommy Sheridan - Solidarity
PP604,Solidarity - Scotland's Socialist Movement,Solidarity
PP604,Solidarity - Scotland's Socialist Movement,Solidarity - Trade Unionist and Socialist Coalition (Joint Description with Trade Unionist and Socialist Coalition)
PP604,Solidarity - Scotland's Socialist Movement,Hope Over Fear - Solidarity
PP604,Solidarity - Scotland's Socialist Movement,Solidarity - Hope Over Fear
PP604,Solidarity - Scotland's Socialist Movement,Hope Over Fear - Solidarity Scotland
PP604,Solidarity - Scotland's Socialist Movement,Hope Over Fear
PP604,Solidarity - Scotland's Socialist Movement,Hope Over Fear - Tommy Sheridan - Solidarity
PP604,Solidarity - Scotland's Socialist Movement,Tommy Sheridan - Solidarity - Hope Over Fear
PP616,Animal Welfare Party,
PP616,Animal Welfare Party,"For People, Animals and the Environment"
PP902,The House Party - Homes For Londoners,
PPm1711,Dunmow First,
PP174,The Stuckist Party,
PP179,The Tatton Group,
PP319,Old Windsor Residents Association,
PP763,Newid,
PP763,Newid,Newid means change
PP763,Newid,Change the system | Newid y drefn
PP763,Newid,Newid candidate | Ymgeisydd newid
PP763,Newid,Change Wales | Newid Cymru
PP1995,Welwyn Garden City Party,
PP1995,Welwyn Garden City Party,Our Town Deserves Better
PP2183,Harlow Independent Party,
PP2183,Harlow Independent Party,We listen to electors and act
PP2183,Harlow Independent Party,We cherish our community
PP2183,Harlow Independent Party,Harlow Independent Party for Harlow people
PP48,Tewkesbury Independents,
PPm310,The Grumpy Old Men Political Party,
PP531,Scotland Against Crooked Lawyers,
PP142,The Community (London Borough of Hounslow),
PP147,Derwentside Independents,
PP178,One Less Party,
PP180,Jam Wrestling Party,
PP192,Northern Progress Party,
PPm197,The United Party,
PPm200,The English Alliance Party,
PP243,Social Democratic Party,
PP243,Social Democratic Party,Social Democratic Party Scotland
PP250,Better Bedford Independent Party,
PP262,UK Anti Party,
PP1913,New Dawn,
PP1913,New Dawn,New Dawn
PP1913,New Dawn,A new dawn in British politics
PP150,Independent Electors Association,
PP181,People's Justice Party,
PP321,Rhondda Peoples Party,
PP326,Non-Political Felpham First,
PP410,East Dunbartonshire Independent Alliance,
PP530,Barnsley Independent Group,
PP542,Kent Campaign Against Increasing Council Taxes,
PP542,Kent Campaign Against Increasing Council Taxes,Sheppey First!
